"","date","country","freq","rank"
"1",2020-01-01,"Brunei",1,10
"2",2020-01-01,"Cambodia",121,7
"3",2020-01-01,"Indonesia",217,6
"4",2020-01-01,"Laos",6,9
"5",2020-01-01,"Malaysia",420,3
"6",2020-01-01,"Myanmar",43,8
"7",2020-01-01,"Philippines",751,1
"8",2020-01-01,"Singapore",555,2
"9",2020-01-01,"Thailand",413,4
"10",2020-01-01,"Vietnam",237,5
"11",2020-02-01,"Brunei",10,10
"12",2020-02-01,"Cambodia",509,7
"13",2020-02-01,"Indonesia",657,6
"14",2020-02-01,"Laos",55,9
"15",2020-02-01,"Malaysia",760,5
"16",2020-02-01,"Myanmar",126,8
"17",2020-02-01,"Philippines",836,3
"18",2020-02-01,"Singapore",1918,1
"19",2020-02-01,"Thailand",851,2
"20",2020-02-01,"Vietnam",796,4
"21",2020-03-01,"Brunei",15,10
"22",2020-03-01,"Cambodia",62,7
"23",2020-03-01,"Indonesia",300,6
"24",2020-03-01,"Laos",19,9
"25",2020-03-01,"Malaysia",333,5
"26",2020-03-01,"Myanmar",54,8
"27",2020-03-01,"Philippines",345,4
"28",2020-03-01,"Singapore",690,1
"29",2020-03-01,"Thailand",445,2
"30",2020-03-01,"Vietnam",375,3
"31",2020-04-01,"Brunei",2,10
"32",2020-04-01,"Cambodia",49,8
"33",2020-04-01,"Indonesia",216,6
"34",2020-04-01,"Laos",14,9
"35",2020-04-01,"Malaysia",241,4
"36",2020-04-01,"Myanmar",64,7
"37",2020-04-01,"Philippines",280,3
"38",2020-04-01,"Singapore",477,1
"39",2020-04-01,"Thailand",239,5
"40",2020-04-01,"Vietnam",322,2
"41",2020-05-01,"Brunei",4,9
"42",2020-05-01,"Cambodia",52,7
"43",2020-05-01,"Indonesia",202,5
"44",2020-05-01,"Laos",2,10
"45",2020-05-01,"Malaysia",237,4
"46",2020-05-01,"Myanmar",32,8
"47",2020-05-01,"Philippines",291,3
"48",2020-05-01,"Singapore",321,1
"49",2020-05-01,"Thailand",200,6
"50",2020-05-01,"Vietnam",303,2
"51",2020-06-01,"Brunei",38,10
"52",2020-06-01,"Cambodia",275,7
"53",2020-06-01,"Indonesia",1078,4
"54",2020-06-01,"Laos",63,9
"55",2020-06-01,"Malaysia",1078,5
"56",2020-06-01,"Myanmar",262,8
"57",2020-06-01,"Philippines",1486,2
"58",2020-06-01,"Singapore",1607,1
"59",2020-06-01,"Thailand",1067,6
"60",2020-06-01,"Vietnam",1204,3
"61",2020-07-01,"Brunei",25,10
"62",2020-07-01,"Cambodia",252,7
"63",2020-07-01,"Indonesia",732,4
"64",2020-07-01,"Laos",59,9
"65",2020-07-01,"Malaysia",687,5
"66",2020-07-01,"Myanmar",135,8
"67",2020-07-01,"Philippines",1236,1
"68",2020-07-01,"Singapore",942,3
"69",2020-07-01,"Thailand",686,6
"70",2020-07-01,"Vietnam",1236,2
"71",2020-08-01,"Brunei",19,10
"72",2020-08-01,"Cambodia",136,8
"73",2020-08-01,"Indonesia",800,4
"74",2020-08-01,"Laos",40,9
"75",2020-08-01,"Malaysia",747,5
"76",2020-08-01,"Myanmar",155,7
"77",2020-08-01,"Philippines",1484,1
"78",2020-08-01,"Singapore",833,3
"79",2020-08-01,"Thailand",634,6
"80",2020-08-01,"Vietnam",960,2
"81",2020-09-01,"Brunei",34,10
"82",2020-09-01,"Cambodia",150,8
"83",2020-09-01,"Indonesia",1473,1
"84",2020-09-01,"Laos",53,9
"85",2020-09-01,"Malaysia",743,6
"86",2020-09-01,"Myanmar",372,7
"87",2020-09-01,"Philippines",1278,2
"88",2020-09-01,"Singapore",1180,3
"89",2020-09-01,"Thailand",815,5
"90",2020-09-01,"Vietnam",1053,4
"91",2020-10-01,"Brunei",7,10
"92",2020-10-01,"Cambodia",110,8
